Item,Qty,Unit Cost ($),Purpose / Justification,Total Cost ($)
DJI Mavic 3 Multispectral Drone,1,6132,Latest drone price (highest from vendors),6132
Extra DJI Mavic 3M Batteries,4,190,Ensure long field operation without downtime,760
NDVI Calibration Panel,1,200,Calibration accuracy for multispectral data,200
Laptop — Acer Predator Helios 300,1,1300,Powerful processing for drone data and deliverables,1300
External SSD 1TB NVMe,1,200,Fast data storage,200
SD Cards 128GB UHS-II,3,50,High-speed storage for flights,150
Anker Solix 1200 Portable Power,1,1200,Field power station,1200
Starlink Roam Satellite Internet,1,600,Reliable internet in remote locations,600
Solar Panel Kit 100W Portable,1,350,Supplemental solar charging,350
Charging Cables & Adapters,1,150,Necessary cables and adapters,150
Tripod / Landing Pad,1,150,Stable drone launch/landing,150
Misc Accessories & Tools,1,150,"Calibration tools, cases, cables",150
Pix4Dfields Annual License,1,1000,Primary drone mapping and analysis software,1000
DroneDeploy Annual License (optional),1,1200,Optional supplementary software,1200
GIS / QGIS Software,1,0,Open-source GIS platform,0
Google Voice Business Number Setup,1,60,Business phone number setup ($5/month x 12 months),60
Pix4Dfields Perpetual License,1,3900,Alternative to annual license (one-time),3900
Pix4Dfields Perpetual License - Annual Support,1,585,Optional annual support renewal,585
LLC Filing Fee,1,75,Legal entity formation fee,75
Operating Agreement (legal draft),1,200,Internal governance document,200
DVBE Certification Fee,1,300,Disabled Veteran certification fee,300
SDVOSB Registration & SAM.gov Setup,1,0,Federal veteran business registration (free),0
General Liability Insurance,1,1200,Insurance for drone operations,1200
FAA Part 107 Exam & Prep Materials,1,150,Certification preparation,150
Website Setup & Domain Registration,1,200,"Domain, hosting, website setup",200
Logo Design & Branding Package,1,500,"Professional logo, business cards, flyers",500
"Marketing Collateral (flyers, cards)",1,300,Printed client outreach materials,300
Social Media Setup & Initial Ads,1,300,Initial advertising budget,300
